cost_adjusted_utility,policy,repair_probability,strong_call_rate,task_success,threshold,total_verification_cost,verifier_cost,wrong_commit_rate
0.431,STATE_NAIVE,0.5,1.0,0.431,0.7,0.0,0.0,0.0
0.38458333333333333,PREDICTED_ATTRIBUTION,0.5,0.26258333333333334,0.38458333333333333,0.7,0.0,0.0,0.09291666666666666
0.38458333333333333,ORACLE_ATTRIBUTION,0.5,0.264,0.38458333333333333,0.7,0.0,0.0,0.09283333333333334
0.431,ALWAYS_STRONG,0.5,1.0,0.431,0.7,0.0,0.0,0.0
0.33791666666666664,NEVER_STRONG,0.5,0.0,0.33791666666666664,0.7,0.0,0.0,0.186
0.411,STATE_NAIVE,0.5,1.0,0.431,0.7,0.02,0.02,0.0
0.3793316666666667,PREDICTED_ATTRIBUTION,0.5,0.26258333333333334,0.38458333333333333,0.7,0.005251666666666667,0.02,0.09291666666666666
0.3793033333333333,ORACLE_ATTRIBUTION,0.5,0.264,0.38458333333333333,0.7,0.00528,0.02,0.09283333333333334
0.411,ALWAYS_STRONG,0.5,1.0,0.431,0.7,0.02,0.02,0.0
0.33791666666666664,NEVER_STRONG,0.5,0.0,0.33791666666666664,0.7,0.0,0.02,0.186
0.381,STATE_NAIVE,0.5,1.0,0.431,0.7,0.05,0.05,0.0
0.37145416666666664,PREDICTED_ATTRIBUTION,0.5,0.26258333333333334,0.38458333333333333,0.7,0.013129166666666667,0.05,0.09291666666666666
0.37138333333333334,ORACLE_ATTRIBUTION,0.5,0.264,0.38458333333333333,0.7,0.013200000000000002,0.05,0.09283333333333334
0.381,ALWAYS_STRONG,0.5,1.0,0.431,0.7,0.05,0.05,0.0
0.33791666666666664,NEVER_STRONG,0.5,0.0,0.33791666666666664,0.7,0.0,0.05,0.186
0.33099999999999996,STATE_NAIVE,0.5,1.0,0.431,0.7,0.1,0.1,0.0
0.358325,PREDICTED_ATTRIBUTION,0.5,0.26258333333333334,0.38458333333333333,0.7,0.026258333333333335,0.1,0.09291666666666666
0.35818333333333335,ORACLE_ATTRIBUTION,0.5,0.264,0.38458333333333333,0.7,0.026400000000000003,0.1,0.09283333333333334
0.33099999999999996,ALWAYS_STRONG,0.5,1.0,0.431,0.7,0.1,0.1,0.0
0.33791666666666664,NEVER_STRONG,0.5,0.0,0.33791666666666664,0.7,0.0,0.1,0.186
0.23099999999999998,STATE_NAIVE,0.5,1.0,0.431,0.7,0.2,0.2,0.0
0.3320666666666667,PREDICTED_ATTRIBUTION,0.5,0.26258333333333334,0.38458333333333333,0.7,0.05251666666666667,0.2,0.09291666666666666
0.3317833333333333,ORACLE_ATTRIBUTION,0.5,0.264,0.38458333333333333,0.7,0.05280000000000001,0.2,0.09283333333333334
0.23099999999999998,ALWAYS_STRONG,0.5,1.0,0.431,0.7,0.2,0.2,0.0
0.33791666666666664,NEVER_STRONG,0.5,0.0,0.33791666666666664,0.7,0.0,0.2,0.186
0.131,STATE_NAIVE,0.5,1.0,0.431,0.7,0.3,0.3,0.0
0.30580833333333335,PREDICTED_ATTRIBUTION,0.5,0.26258333333333334,0.38458333333333333,0.7,0.078775,0.3,0.09291666666666666
0.30538333333333334,ORACLE_ATTRIBUTION,0.5,0.264,0.38458333333333333,0.7,0.0792,0.3,0.09283333333333334
0.131,ALWAYS_STRONG,0.5,1.0,0.431,0.7,0.3,0.3,0.0
0.33791666666666664,NEVER_STRONG,0.5,0.0,0.33791666666666664,0.7,0.0,0.3,0.186
0.4671666666666667,STATE_NAIVE,0.7,1.0,0.4671666666666667,0.7,0.0,0.0,0.0
0.4028333333333333,PREDICTED_ATTRIBUTION,0.7,0.26258333333333334,0.4028333333333333,0.7,0.0,0.0,0.09291666666666666
0.40291666666666665,ORACLE_ATTRIBUTION,0.7,0.264,0.40291666666666665,0.7,0.0,0.0,0.09283333333333334
0.4671666666666667,ALWAYS_STRONG,0.7,1.0,0.4671666666666667,0.7,0.0,0.0,0.0
0.33791666666666664,NEVER_STRONG,0.7,0.0,0.33791666666666664,0.7,0.0,0.0,0.186
0.44716666666666666,STATE_NAIVE,0.7,1.0,0.4671666666666667,0.7,0.02,0.02,0.0
0.39758166666666667,PREDICTED_ATTRIBUTION,0.7,0.26258333333333334,0.4028333333333333,0.7,0.005251666666666667,0.02,0.09291666666666666
0.39763666666666664,ORACLE_ATTRIBUTION,0.7,0.264,0.40291666666666665,0.7,0.00528,0.02,0.09283333333333334
0.44716666666666666,ALWAYS_STRONG,0.7,1.0,0.4671666666666667,0.7,0.02,0.02,0.0
0.33791666666666664,NEVER_STRONG,0.7,0.0,0.33791666666666664,0.7,0.0,0.02,0.186
0.4171666666666667,STATE_NAIVE,0.7,1.0,0.4671666666666667,0.7,0.05,0.05,0.0
0.38970416666666663,PREDICTED_ATTRIBUTION,0.7,0.26258333333333334,0.4028333333333333,0.7,0.013129166666666667,0.05,0.09291666666666666
0.38971666666666666,ORACLE_ATTRIBUTION,0.7,0.264,0.40291666666666665,0.7,0.013200000000000002,0.05,0.09283333333333334
0.4171666666666667,ALWAYS_STRONG,0.7,1.0,0.4671666666666667,0.7,0.05,0.05,0.0
0.33791666666666664,NEVER_STRONG,0.7,0.0,0.33791666666666664,0.7,0.0,0.05,0.186
0.36716666666666664,STATE_NAIVE,0.7,1.0,0.4671666666666667,0.7,0.1,0.1,0.0
0.376575,PREDICTED_ATTRIBUTION,0.7,0.26258333333333334,0.4028333333333333,0.7,0.026258333333333335,0.1,0.09291666666666666
0.37651666666666667,ORACLE_ATTRIBUTION,0.7,0.264,0.40291666666666665,0.7,0.026400000000000003,0.1,0.09283333333333334
0.36716666666666664,ALWAYS_STRONG,0.7,1.0,0.4671666666666667,0.7,0.1,0.1,0.0
0.33791666666666664,NEVER_STRONG,0.7,0.0,0.33791666666666664,0.7,0.0,0.1,0.186
0.26716666666666666,STATE_NAIVE,0.7,1.0,0.4671666666666667,0.7,0.2,0.2,0.0
0.35031666666666667,PREDICTED_ATTRIBUTION,0.7,0.26258333333333334,0.4028333333333333,0.7,0.05251666666666667,0.2,0.09291666666666666
0.35011666666666663,ORACLE_ATTRIBUTION,0.7,0.264,0.40291666666666665,0.7,0.05280000000000001,0.2,0.09283333333333334
0.26716666666666666,ALWAYS_STRONG,0.7,1.0,0.4671666666666667,0.7,0.2,0.2,0.0
0.33791666666666664,NEVER_STRONG,0.7,0.0,0.33791666666666664,0.7,0.0,0.2,0.186
0.16716666666666669,STATE_NAIVE,0.7,1.0,0.4671666666666667,0.7,0.3,0.3,0.0
0.32405833333333334,PREDICTED_ATTRIBUTION,0.7,0.26258333333333334,0.4028333333333333,0.7,0.078775,0.3,0.09291666666666666
0.32371666666666665,ORACLE_ATTRIBUTION,0.7,0.264,0.40291666666666665,0.7,0.0792,0.3,0.09283333333333334
0.16716666666666669,ALWAYS_STRONG,0.7,1.0,0.4671666666666667,0.7,0.3,0.3,0.0
0.33791666666666664,NEVER_STRONG,0.7,0.0,0.33791666666666664,0.7,0.0,0.3,0.186
0.5034166666666666,STATE_NAIVE,0.9,1.0,0.5034166666666666,0.7,0.0,0.0,0.0
0.4205833333333333,PREDICTED_ATTRIBUTION,0.9,0.26258333333333334,0.4205833333333333,0.7,0.0,0.0,0.09291666666666666
0.4206666666666667,ORACLE_ATTRIBUTION,0.9,0.264,0.4206666666666667,0.7,0.0,0.0,0.09283333333333334
0.5034166666666666,ALWAYS_STRONG,0.9,1.0,0.5034166666666666,0.7,0.0,0.0,0.0
0.33791666666666664,NEVER_STRONG,0.9,0.0,0.33791666666666664,0.7,0.0,0.0,0.186
0.4834166666666666,STATE_NAIVE,0.9,1.0,0.5034166666666666,0.7,0.02,0.02,0.0
0.41533166666666665,PREDICTED_ATTRIBUTION,0.9,0.26258333333333334,0.4205833333333333,0.7,0.005251666666666667,0.02,0.09291666666666666
0.4153866666666667,ORACLE_ATTRIBUTION,0.9,0.264,0.4206666666666667,0.7,0.00528,0.02,0.09283333333333334
0.4834166666666666,ALWAYS_STRONG,0.9,1.0,0.5034166666666666,0.7,0.02,0.02,0.0
0.33791666666666664,NEVER_STRONG,0.9,0.0,0.33791666666666664,0.7,0.0,0.02,0.186
0.45341666666666663,STATE_NAIVE,0.9,1.0,0.5034166666666666,0.7,0.05,0.05,0.0
0.4074541666666666,PREDICTED_ATTRIBUTION,0.9,0.26258333333333334,0.4205833333333333,0.7,0.013129166666666667,0.05,0.09291666666666666
0.4074666666666667,ORACLE_ATTRIBUTION,0.9,0.264,0.4206666666666667,0.7,0.013200000000000002,0.05,0.09283333333333334
0.45341666666666663,ALWAYS_STRONG,0.9,1.0,0.5034166666666666,0.7,0.05,0.05,0.0
0.33791666666666664,NEVER_STRONG,0.9,0.0,0.33791666666666664,0.7,0.0,0.05,0.186
0.40341666666666665,STATE_NAIVE,0.9,1.0,0.5034166666666666,0.7,0.1,0.1,0.0
0.394325,PREDICTED_ATTRIBUTION,0.9,0.26258333333333334,0.4205833333333333,0.7,0.026258333333333335,0.1,0.09291666666666666
0.3942666666666667,ORACLE_ATTRIBUTION,0.9,0.264,0.4206666666666667,0.7,0.026400000000000003,0.1,0.09283333333333334
0.40341666666666665,ALWAYS_STRONG,0.9,1.0,0.5034166666666666,0.7,0.1,0.1,0.0
0.33791666666666664,NEVER_STRONG,0.9,0.0,0.33791666666666664,0.7,0.0,0.1,0.186
0.3034166666666666,STATE_NAIVE,0.9,1.0,0.5034166666666666,0.7,0.2,0.2,0.0
0.36806666666666665,PREDICTED_ATTRIBUTION,0.9,0.26258333333333334,0.4205833333333333,0.7,0.05251666666666667,0.2,0.09291666666666666
0.3678666666666667,ORACLE_ATTRIBUTION,0.9,0.264,0.4206666666666667,0.7,0.05280000000000001,0.2,0.09283333333333334
0.3034166666666666,ALWAYS_STRONG,0.9,1.0,0.5034166666666666,0.7,0.2,0.2,0.0
0.33791666666666664,NEVER_STRONG,0.9,0.0,0.33791666666666664,0.7,0.0,0.2,0.186
0.20341666666666663,STATE_NAIVE,0.9,1.0,0.5034166666666666,0.7,0.3,0.3,0.0
0.3418083333333333,PREDICTED_ATTRIBUTION,0.9,0.26258333333333334,0.4205833333333333,0.7,0.078775,0.3,0.09291666666666666
0.3414666666666667,ORACLE_ATTRIBUTION,0.9,0.264,0.4206666666666667,0.7,0.0792,0.3,0.09283333333333334
0.20341666666666663,ALWAYS_STRONG,0.9,1.0,0.5034166666666666,0.7,0.3,0.3,0.0
0.33791666666666664,NEVER_STRONG,0.9,0.0,0.33791666666666664,0.7,0.0,0.3,0.186
0.5239166666666667,STATE_NAIVE,1.0,1.0,0.5239166666666667,0.7,0.0,0.0,0.0
0.431,PREDICTED_ATTRIBUTION,1.0,0.26258333333333334,0.431,0.7,0.0,0.0,0.09291666666666666
0.4310833333333333,ORACLE_ATTRIBUTION,1.0,0.264,0.4310833333333333,0.7,0.0,0.0,0.09283333333333334
0.5239166666666667,ALWAYS_STRONG,1.0,1.0,0.5239166666666667,0.7,0.0,0.0,0.0
0.33791666666666664,NEVER_STRONG,1.0,0.0,0.33791666666666664,0.7,0.0,0.0,0.186
0.5039166666666667,STATE_NAIVE,1.0,1.0,0.5239166666666667,0.7,0.02,0.02,0.0
0.42574833333333334,PREDICTED_ATTRIBUTION,1.0,0.26258333333333334,0.431,0.7,0.005251666666666667,0.02,0.09291666666666666
0.4258033333333333,ORACLE_ATTRIBUTION,1.0,0.264,0.4310833333333333,0.7,0.00528,0.02,0.09283333333333334
0.5039166666666667,ALWAYS_STRONG,1.0,1.0,0.5239166666666667,0.7,0.02,0.02,0.0
