action_REGENERATE_rate,action_REOBSERVE_REPLAN_rate,action_STRONG_VERIFY_rate,action_TOOL_RETRY_rate,attribution_minus_best_simple,attribution_minus_uncertainty,best_simple_utility,budget,cost_adjusted_utility,cost_regime,effectiveness_regime,mean_actions_used,mean_intervention_cost,oracle_recovery_ratio,policy,regret_vs_oracle,scenario,task_success,unnecessary_intervention_rate,wrong_intervention_rate
0.0,0.0,0.0,0.0,0.1135633333333333,0.2016646666666666,0.4406853333333333,1,0.3334666666666667,LOW,BASE,0.0,0.0,0.6471779402154917,COMMIT_ONLY,0.28269333333333324,ID,0.3334666666666667,0.0,0.0
0.0,0.0,1.0,0.0,0.1135633333333333,0.2016646666666666,0.4406853333333333,1,0.38026666666666664,LOW,BASE,1.0,0.08,0.6471779402154917,ALWAYS_STRONG_VERIFY,0.2358933333333333,ID,0.46026666666666666,0.33713333333333334,0.42173333333333335
0.0,0.0,0.2052,0.0,0.1135633333333333,0.2016646666666666,0.4406853333333333,1,0.352584,LOW,BASE,0.2052,0.016416,0.6471779402154917,UNCERTAINTY_ONLY,0.2635759999999999,ID,0.369,0.0,0.0634
0.0,0.0,0.6609333333333334,0.0,0.1135633333333333,0.2016646666666666,0.4406853333333333,1,0.4019253333333333,LOW,BASE,0.6609333333333334,0.05287466666666666,0.6471779402154917,FAILURE_RISK_ONLY,0.21423466666666663,ID,0.4548,0.018333333333333333,0.4104
0.5442666666666667,0.0,0.0,0.4557333333333333,0.1135633333333333,0.2016646666666666,0.4406853333333333,1,0.4406853333333333,LOW,BASE,1.0,0.039114666666666666,0.6471779402154917,STATE_ONLY,0.1754746666666666,ID,0.4798,0.33713333333333334,0.333
0.2966,0.1052,0.1472,0.2729333333333333,0.1135633333333333,0.2016646666666666,0.4406853333333333,1,0.5542486666666666,LOW,BASE,0.8219333333333333,0.04168466666666667,0.6471779402154917,ATTRIBUTION_AWARE,0.06191133333333332,ID,0.5959333333333333,0.16,0.09993333333333333
0.2966,0.1052,0.1472,0.2729333333333333,0.1135633333333333,0.2016646666666666,0.4406853333333333,1,0.40471533333333337,LOW,BASE,0.8219333333333333,0.04168466666666667,0.6471779402154917,SHUFFLED_ATTRIBUTION,0.21144466666666656,ID,0.4464,0.2744666666666667,0.28786666666666666
0.22433333333333333,0.1304,0.10806666666666667,0.20006666666666667,0.1135633333333333,0.2016646666666666,0.4406853333333333,1,0.6161599999999999,LOW,BASE,0.6628666666666667,0.03450666666666668,0.6471779402154917,ORACLE_MULTI_LABEL,0.0,ID,0.6506666666666666,0.0,0.0
0.0,0.0,0.0,0.0,0.13063133333333332,0.30418266666666666,0.5281253333333333,2,0.3334666666666667,LOW,BASE,0.0,0.0,0.6668697312400662,COMMIT_ONLY,0.39054600000000006,ID,0.3334666666666667,0.0,0.0
0.0,0.0,1.0,0.0,0.13063133333333332,0.30418266666666666,0.5281253333333333,2,0.38026666666666664,LOW,BASE,1.0,0.08,0.6668697312400662,ALWAYS_STRONG_VERIFY,0.3437460000000001,ID,0.46026666666666666,0.33713333333333334,0.42173333333333335
