action_COMMIT_rate,action_REGENERATE_rate,action_REOBSERVE_REPLAN_rate,action_STRONG_VERIFY_rate,action_TOOL_RETRY_rate,attribution_minus_uncertainty,best_simple_utility,cost_adjusted_utility,cost_regime,effectiveness_regime,mean_intervention_cost,oracle_recovery_ratio,policy,regret_vs_oracle,scenario,task_success,unnecessary_intervention_rate,wrong_intervention_rate
1.0,0.0,0.0,0.0,0.0,0.21165083333333334,0.51283,0.35433333333333333,BASE,BASE,0.0,0.5466340365461093,COMMIT_ONLY,0.45542749999999993,ID,0.35433333333333333,0.0,0.6620833333333334
0.0,0.0,0.0,1.0,0.0,0.21165083333333334,0.51283,0.39183333333333326,BASE,BASE,0.15,0.5466340365461093,ALWAYS_STRONG_VERIFY,0.4179275,ID,0.5418333333333333,0.33791666666666664,0.47608333333333336
0.7221666666666666,0.0,0.0,0.2778333333333333,0.0,0.21165083333333334,0.51283,0.46349166666666664,BASE,BASE,0.041675000000000004,0.5466340365461093,UNCERTAINTY_ONLY,0.34626916666666663,ID,0.5051666666666667,0.01475,0.48483333333333334
0.33358333333333334,0.0,0.0,0.6664166666666667,0.0,0.21165083333333334,0.51283,0.44445416666666665,BASE,BASE,0.0999625,0.5466340365461093,FAILURE_RISK_ONLY,0.3653066666666666,ID,0.5444166666666667,0.0255,0.47741666666666666
0.0,0.24633333333333332,0.0,0.258,0.49566666666666664,0.21165083333333334,0.51283,0.51283,BASE,BASE,0.09067,0.5466340365461093,STATE_ONLY,0.29693083333333326,ID,0.6035,0.33791666666666664,0.40675
0.20975,0.20725,0.14633333333333334,0.17516666666666666,0.2615,0.21165083333333334,0.51283,0.6751425,BASE,BASE,0.07219083333333334,0.5466340365461093,ATTRIBUTION_AWARE,0.13461833333333328,ID,0.7473333333333333,0.13066666666666665,0.21441666666666667
0.0,0.21791666666666668,0.09816666666666667,0.15725,0.5266666666666666,0.21165083333333334,0.51283,0.6509833333333334,BASE,BASE,0.08643333333333333,0.5466340365461093,ATTRIBUTION_DEGRADED,0.1587774999999999,ID,0.7374166666666667,0.33791666666666664,0.222
0.20975,0.20725,0.14633333333333334,0.17516666666666666,0.2615,0.21165083333333334,0.51283,0.4258091666666667,BASE,BASE,0.07219083333333333,0.5466340365461093,SHUFFLED_ATTRIBUTION,0.3839516666666666,ID,0.498,0.26775,0.5316666666666666
0.33791666666666664,0.15425,0.14816666666666667,0.186,0.17366666666666666,0.21165083333333334,0.51283,0.8097608333333333,BASE,BASE,0.0643225,0.5466340365461093,ORACLE_ATTRIBUTION,0.0,ID,0.8740833333333333,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.20383166666666674,0.5412100000000001,0.35433333333333333,CHEAP_STRONG,BASE,0.0,0.542107706458524,COMMIT_ONLY,0.47588749999999996,ID,0.35433333333333333,0.0,0.6620833333333334
0.0,0.0,0.0,1.0,0.0,0.20383166666666674,0.5412100000000001,0.5018333333333332,CHEAP_STRONG,BASE,0.04,0.542107706458524,ALWAYS_STRONG_VERIFY,0.32838750000000005,ID,0.5418333333333333,0.33791666666666664,0.47608333333333336
0.7221666666666666,0.0,0.0,0.2778333333333333,0.0,0.20383166666666674,0.5412100000000001,0.49405333333333334,CHEAP_STRONG,BASE,0.011113333333333334,0.542107706458524,UNCERTAINTY_ONLY,0.33616749999999995,ID,0.5051666666666667,0.01475,0.48483333333333334
0.33358333333333334,0.0,0.0,0.6664166666666667,0.0,0.20383166666666674,0.5412100000000001,0.51776,CHEAP_STRONG,BASE,0.026656666666666665,0.542107706458524,FAILURE_RISK_ONLY,0.3124608333333333,ID,0.5444166666666667,0.0255,0.47741666666666666
0.0,0.24633333333333332,0.0,0.258,0.49566666666666664,0.20383166666666674,0.5412100000000001,0.5412100000000001,CHEAP_STRONG,BASE,0.06229,0.542107706458524,STATE_ONLY,0.2890108333333332,ID,0.6035,0.33791666666666664,0.40675
0.20166666666666666,0.187,0.13208333333333333,0.22791666666666666,0.25133333333333335,0.20383166666666674,0.5412100000000001,0.6978850000000001,CHEAP_STRONG,BASE,0.05178166666666666,0.542107706458524,ATTRIBUTION_AWARE,0.1323358333333332,ID,0.7496666666666667,0.13858333333333334,0.21141666666666667
0.0,0.16466666666666666,0.08208333333333333,0.46608333333333335,0.2871666666666667,0.20383166666666674,0.5412100000000001,0.6858583333333333,CHEAP_STRONG,BASE,0.05805833333333333,0.542107706458524,ATTRIBUTION_DEGRADED,0.14436249999999995,ID,0.7439166666666667,0.33791666666666664,0.21441666666666667
0.20166666666666666,0.187,0.13208333333333333,0.22791666666666666,0.25133333333333335,0.20383166666666674,0.5412100000000001,0.44796833333333336,CHEAP_STRONG,BASE,0.05178166666666666,0.542107706458524,SHUFFLED_ATTRIBUTION,0.38225249999999994,ID,0.49975,0.2708333333333333,0.52875
0.33791666666666664,0.15425,0.14816666666666667,0.186,0.17366666666666666,0.20383166666666674,0.5412100000000001,0.8302208333333333,CHEAP_STRONG,BASE,0.04386249999999999,0.542107706458524,ORACLE_ATTRIBUTION,0.0,ID,0.8740833333333333,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.17423166666666662,0.43848666666666664,0.35433333333333333,HIGH_INTERVENTION,BASE,0.0,0.5646056795964439,COMMIT_ONLY,0.3927433333333333,ID,0.35433333333333333,0.0,0.6620833333333334
0.0,0.0,0.0,1.0,0.0,0.17423166666666662,0.43848666666666664,0.3018333333333332,HIGH_INTERVENTION,BASE,0.24000000000000007,0.5646056795964439,ALWAYS_STRONG_VERIFY,0.44524333333333344,ID,0.5418333333333333,0.33791666666666664,0.47608333333333336
0.7221666666666666,0.0,0.0,0.2778333333333333,0.0,0.17423166666666662,0.43848666666666664,0.43848666666666664,HIGH_INTERVENTION,BASE,0.06668,0.5646056795964439,UNCERTAINTY_ONLY,0.30859,ID,0.5051666666666667,0.01475,0.48483333333333334
0.33358333333333334,0.0,0.0,0.6664166666666667,0.0,0.17423166666666662,0.43848666666666664,0.38447666666666663,HIGH_INTERVENTION,BASE,0.15994000000000003,0.5646056795964439,FAILURE_RISK_ONLY,0.3626,ID,0.5444166666666667,0.0255,0.47741666666666666
0.29833333333333334,0.24633333333333332,0.0,0.258,0.19733333333333333,0.17423166666666662,0.43848666666666664,0.4318333333333333,HIGH_INTERVENTION,BASE,0.127,0.5646056795964439,STATE_ONLY,0.3152433333333333,ID,0.5588333333333333,0.1725,0.4483333333333333
