abs_reliability_error,episode_count,final_estimate,method,selector_brier,selector_ece,state,strong_call_rate,strong_verifier_cost,task_success_rate,true_reliability,unnecessary_call_rate,wrong_commit_rate
0.582056323946009,3580,0.337943676053991,GLOBAL_NAIVE,0.027839330873733917,0.034252777980996615,A_high,1.0,0.08,0.6223463687150838,0.92,0.8248603351955307,0.0
0.412056323946009,2956,0.337943676053991,GLOBAL_NAIVE,0.05190506902634648,0.057077089657663754,B_medium,1.0,0.08,0.39174560216508797,0.75,0.5740866035182679,0.0
0.21205632394600904,3096,0.337943676053991,GLOBAL_NAIVE,0.07582829013479848,0.07570663302558753,C_low,1.0,0.08,0.5345607235142119,0.55,0.437015503875969,0.0
0.512056323946009,2368,0.337943676053991,GLOBAL_NAIVE,0.03933727809990628,0.056200078576230605,D_volatile,1.0,0.08,0.4877533783783784,0.85,0.808277027027027,0.0
0.36556113902847576,3580,0.5544388609715243,STATE_NAIVE,0.027839330873733917,0.034252777980996615,A_high,1.0,0.08,0.6223463687150838,0.92,0.8248603351955307,0.0
0.5295807978363759,2956,0.22041920216362407,STATE_NAIVE,0.05190506902634648,0.057077089657663754,B_medium,1.0,0.08,0.39174560216508797,0.75,0.5740866035182679,0.0
0.3579406068431247,3096,0.1920593931568754,STATE_NAIVE,0.07582829013479848,0.07570663302558753,C_low,1.0,0.08,0.5345607235142119,0.55,0.437015503875969,0.0
0.5014767932489451,2368,0.34852320675105486,STATE_NAIVE,0.03933727809990628,0.056200078576230605,D_volatile,1.0,0.08,0.4877533783783784,0.85,0.808277027027027,0.0
3.737153534733029e-05,3580,0.9199626284646527,ORACLE_STATE,0.0,0.0,A_high,0.0005586592178770949,4.4692737430167594e-05,0.5544692737430168,0.92,0.0005586592178770949,0.07150837988826815
0.012118491921005337,2956,0.7621184919210053,ORACLE_STATE,0.0,0.0,B_medium,0.023004059539918808,0.0018403247631935047,0.2242895805142084,0.75,0.013870094722598106,0.17489851150202976
0.0001828524989840874,3096,0.5501828524989841,ORACLE_STATE,0.0,0.0,C_low,1.0,0.08,0.5345607235142119,0.55,0.437015503875969,0.0
0.0015285777580859028,2368,0.8484714222419141,ORACLE_STATE,0.0,0.0,D_volatile,0.0008445945945945946,6.756756756756757e-05,0.3483952702702703,0.85,0.0008445945945945946,0.14400337837837837
0.020218620849946523,3580,0.8997813791500535,PREDICTED_STATE,0.027839330873733917,0.034252777980996615,A_high,0.0008379888268156424,6.70391061452514e-05,0.5544692737430168,0.92,0.0008379888268156424,0.07150837988826815
0.021634129366676524,2956,0.7716341293666765,PREDICTED_STATE,0.05190506902634648,0.057077089657663754,B_medium,0.016914749661705007,0.0013531799729364006,0.2239512855209743,0.75,0.009810554803788904,0.17523680649526388
0.04506471929168321,3096,0.5950647192916833,PREDICTED_STATE,0.07582829013479848,0.07570663302558753,C_low,1.0,0.08,0.5345607235142119,0.55,0.437015503875969,0.0
0.005616806825214038,2368,0.8443831931747859,PREDICTED_STATE,0.03933727809990628,0.056200078576230605,D_volatile,0.0008445945945945946,6.756756756756757e-05,0.3483952702702703,0.85,0.0008445945945945946,0.14400337837837837
0.13074676099329596,3580,0.7892532390067041,PREDICTED_DEGRADED,0.04964158282037292,0.1441309236049315,A_high,0.0013966480446927375,0.000111731843575419,0.5544692737430168,0.92,0.0013966480446927375,0.07150837988826815
0.033907042702085555,2956,0.7160929572979144,PREDICTED_DEGRADED,0.08496213809886928,0.16596094926343424,B_medium,0.034167794316644115,0.002733423545331529,0.2273342354533153,0.75,0.02029769959404601,0.17185385656292287
0.07659787675947693,3096,0.626597876759477,PREDICTED_DEGRADED,0.12909404506454283,0.21290529622858959,C_low,1.0,0.08,0.5345607235142119,0.55,0.437015503875969,0.0
0.08945159517835,2368,0.76054840482165,PREDICTED_DEGRADED,0.07106397686885217,0.16906548694355822,D_volatile,0.002533783783783784,0.00020270270270270272,0.3483952702702703,0.85,0.0021114864864864866,0.14400337837837837
